prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
Hawes & Curtis,5063755167966,5063755167966,Hawes & Curtis Brown Derby Lace Up Shoe,http://www.hawesandcurtis.co.uk/brown-derby-lace-up-shoe1-oeppa330-c30?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Exuding sophistication, these brown derby shoes are a staple for any wardrobe. Crafted from Spanish Polido calf leather, they feature an open-lace design that combines comfort with classic style for a roomier fit. Perfect for both formal occasions and smart-casual settings, these shoes offer enduring elegance and everyday wearability.• Leather Upper • Leather Lining• Leather Sole• Leather Sole with Rubber insert Made in Portugal","Exuding sophistication, these brown derby shoes are a staple for any wardrobe. Crafted from Spanish Polido calf leather, they feature an open-lace design that combines comfort with classic style for a roomier fit. Perfect for both formal occasions and smart-casual settings, these shoes offer enduring elegance and everyday wearability.• Leather Upper • Leather Lining• Leather Sole• Leather Sole with Rubber insert Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPPA330-C30-215091-1400px-1820px.jpg,Clothing & Accessories > Shoes,Ascot Queen Anne Enclosure >Promotions,,,FALSE,OEPPA330-C30,26,IN STOCK,,"10, 10.5, 11, 12, 7, 8, 8.5, 9, 9.5",Brown,,169.00,7,TRUE,TRUE
Hawes & Curtis,5063755021510,5063755021510,Hawes & Curtis Chocolate Brown Tennis Trainer,http://www.hawesandcurtis.co.uk/chocolate-trainer-oepca316-c30?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Crafted from the finest Italian nappa leather, these tennis trainers represent the perfect marriage of athletic heritage and contemporary luxury. The buttery-soft brown leather upper and classic court silhouette maintain that effortless cool factor. Boasting a clean, minimalist design these are a perfect choice with smart-casual looks or dressing down your tailored pieces for everyday wear.• Leather Upper • Leather Lining • Rubber Cup Sole • Extra Cushion Insole Made in Portugal","Crafted from the finest Italian nappa leather, these tennis trainers represent the perfect marriage of athletic heritage and contemporary luxury. The buttery-soft brown leather upper and classic court silhouette maintain that effortless cool factor. Boasting a clean, minimalist design these are a perfect choice with smart-casual looks or dressing down your tailored pieces for everyday wear.• Leather Upper • Leather Lining • Rubber Cup Sole • Extra Cushion Insole Made in Portugal",79.00,79.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCA316-C30-206721-1400px-1820px.jpg,Clothing & Accessories > Shoes,Gifts>Shoes & Accessories,,,FALSE,OEPCA316-C30,32,IN STOCK,,"10, 11, 12, 7, 8, 9",Chocolate,,139.00,5,TRUE,TRUE
Hawes & Curtis,5063056812787,5063056812787,Hawes & Curtis Brown Derby Lace Up Shoe,http://www.hawesandcurtis.co.uk/brown-derby-lace-up-shoe-oepca006-c01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Exuding sophistication, these brown derby shoes are a staple for any wardrobe. Crafted from Spanish Polido calf leather, they feature an open-lace design that combines comfort with classic style for a roomier fit. Perfect for both formal occasions and smart-casual settings, these shoes offer enduring elegance and everyday wearability.• Leather Upper • Leather Lining• Leather Sole• Leather Sole with Rubber insert Made in Portugal","Exuding sophistication, these brown derby shoes are a staple for any wardrobe. Crafted from Spanish Polido calf leather, they feature an open-lace design that combines comfort with classic style for a roomier fit. Perfect for both formal occasions and smart-casual settings, these shoes offer enduring elegance and everyday wearability.• Leather Upper • Leather Lining• Leather Sole• Leather Sole with Rubber insert Made in Portugal",99.00,99.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCA006-C01-200197-1400px-1820px.jpg,Clothing & Accessories > Shoes,Cheltenham>Casualwear>Menswear,,,FALSE,OEPCA006-C01,10,IN STOCK,,"12, 8.5, 9, 9.5",Brown,,169.00,17,TRUE,TRUE
Hawes & Curtis,5063755168147,5063755168147,Hawes & Curtis Black Derby Dress Shoe,http://www.hawesandcurtis.co.uk/black-derby-dress-shoe1-oeppa331-a01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"A classic derby with high-gloss charm, they are crafted from fine Italian patent leather for a mirror-finish to complete your look with shine. Featuring a soft leather lining, cushioned sole, and rubber insert on the sole for added comfort and slip resistance, these shoes offer a perfect touhc of luxury for those black-tie occasions. • Patent Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","A classic derby with high-gloss charm, they are crafted from fine Italian patent leather for a mirror-finish to complete your look with shine. Featuring a soft leather lining, cushioned sole, and rubber insert on the sole for added comfort and slip resistance, these shoes offer a perfect touhc of luxury for those black-tie occasions. • Patent Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPPA331-A01-215849-1400px-1820px.jpg,Clothing & Accessories > Shoes,Gifts>Shoes & Accessories,,,FALSE,OEPPA331-A01,13,IN STOCK,,"10, 10.5, 11, 12, 7, 8, 9, 9.5",Black,,169.00,12,TRUE,TRUE
Hawes & Curtis,5063755019203,5063755019203,Hawes & Curtis Chocolate Brown Penny Loafer,http://www.hawesandcurtis.co.uk/chocolate-brown-penny-loafer1-oepsa318-c30?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"A true classic, these brown loafers are crafted from supple Italian nappa leather and feature the iconic penny design with a signature strap and streamlined silhouette. Combining comfort with durability, they are finished with a rubber sole insert for reliable grip, making them perfect for both formal and smart-casual wear.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","A true classic, these brown loafers are crafted from supple Italian nappa leather and feature the iconic penny design with a signature strap and streamlined silhouette. Combining comfort with durability, they are finished with a rubber sole insert for reliable grip, making them perfect for both formal and smart-casual wear.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPSA318-C30-209056-1400px-1820px.jpg,Clothing & Accessories > Shoes,The Lennox Enclosure>Promotions,,,FALSE,OEPSA318-C30,32,IN STOCK,,"10, 10.5, 12, 7, 8, 8.5, 9, 9.5",Chocolate,,169.00,6,TRUE,TRUE
Hawes & Curtis,5063755019517,5063755019517,Hawes & Curtis Black Belgian Loafer,http://www.hawesandcurtis.co.uk/black-belgian-loafer-oepsa320-a01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The ultimate complement to formal and black-tie ensembles, these loafers are rendered in sumptuous black Italian velvet and crafted in the timeless Belgian silhouette. Their plush, tactile finish exudes understated elegance, while the refined lines and sleek profile make them a statement of effortless sophistication with every wear.• Velvet Upper • Leather Lining • Leather Sole • Rubber Heel  Made in Portugal","The ultimate complement to formal and black-tie ensembles, these loafers are rendered in sumptuous black Italian velvet and crafted in the timeless Belgian silhouette. Their plush, tactile finish exudes understated elegance, while the refined lines and sleek profile make them a statement of effortless sophistication with every wear.• Velvet Upper • Leather Lining • Leather Sole • Rubber Heel  Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPSA320-A01-209038-1400px-1820px.jpg,Clothing & Accessories > Shoes,Gifts>Shoes & Accessories,,,FALSE,OEPSA320-A01,7,IN STOCK,,"10, 7, 8, 9",Black,,169.00,22,TRUE,TRUE
Hawes & Curtis,5063755019593,5063755019593,Hawes & Curtis Black Belgian Loafer,http://www.hawesandcurtis.co.uk/black-belgian-loafer1-oepsa321-a01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Handcrafted from Italian patent leather, these black Belgian loafers offer a sleek silhouette and a mirror-gloss finish that speaks of quiet luxury. Elegant, versatile, and undeniably timeless, they are the perfect choice for black-tie occasions and refined evening wear.• Patent Leather Upper • Leather Lining • Leather Sole• Rubber Heel  Made in Portugal","Handcrafted from Italian patent leather, these black Belgian loafers offer a sleek silhouette and a mirror-gloss finish that speaks of quiet luxury. Elegant, versatile, and undeniably timeless, they are the perfect choice for black-tie occasions and refined evening wear.• Patent Leather Upper • Leather Lining • Leather Sole• Rubber Heel  Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPSA321-A01-209036-1400px-1820px.jpg,Clothing & Accessories > Shoes,Gifts>Shoes & Accessories,,,FALSE,OEPSA321-A01,8,IN STOCK,,"10, 11, 12, 7, 8, 9",Black,,169.00,20,TRUE,TRUE
Hawes & Curtis,5063755210570,5063755210570,Hawes & Curtis Taupe Driving Shoe,http://www.hawesandcurtis.co.uk/taupe-driving-shoe-oepak334-c50?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Cut from richly textured taupe Italian suede, this driving shoe brings a softer, more tactile take on a timeless silhouette. The classic moccasin-style stitching and flexible rubber sole keep it light on the foot, while the suede upper lends a laid-back sophistication that pairs effortlessly with smart chinos or weekend linen. • Suede Upper • Leather Lining • Rubber Sole   Made in Portugal Size Note: For the best fit, we recommend sizing up if you fall between sizes, as is typical with slip-on styles.","Cut from richly textured taupe Italian suede, this driving shoe brings a softer, more tactile take on a timeless silhouette. The classic moccasin-style stitching and flexible rubber sole keep it light on the foot, while the suede upper lends a laid-back sophistication that pairs effortlessly with smart chinos or weekend linen. • Suede Upper • Leather Lining • Rubber Sole   Made in Portugal Size Note: For the best fit, we recommend sizing up if you fall between sizes, as is typical with slip-on styles.",99.00,99.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPAK334-C50-215941-1400px-1820px.jpg,Clothing & Accessories > Shoes,Wimbledon>Promotions,,,FALSE,OEPAK334-C50,10,IN STOCK,,"10, 11, 7, 8, 9",Taupe,,139.00,18,TRUE,TRUE
Hawes & Curtis,5063056809848,5063056809848,Hawes & Curtis Beige Chunky Monk Strap Shoe,http://www.hawesandcurtis.co.uk/beige-suede-chunky-monk-strap-shoe-oepci205-h20?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Crafted from Italian beige suede, this chunky monk strap shoe has a soft, velvety texture for luxurious appeal. Designed with a chunky silhouette, they feature a lightweight and durable XL Extralite sole for superior comfort. The bold silhouette is complemented by a sleek buckle detail, adding a refined touch to its rugged charm. Ideal for pairing with both tailored and casual looks.• Suede Upper • Leather Lining • Rubber XL Extralite Sole   Made in Portugal","Crafted from Italian beige suede, this chunky monk strap shoe has a soft, velvety texture for luxurious appeal. Designed with a chunky silhouette, they feature a lightweight and durable XL Extralite sole for superior comfort. The bold silhouette is complemented by a sleek buckle detail, adding a refined touch to its rugged charm. Ideal for pairing with both tailored and casual looks.• Suede Upper • Leather Lining • Rubber XL Extralite Sole   Made in Portugal",99.00,99.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCI205-H20-200016-1400px-1820px.jpg,Clothing & Accessories > Shoes,Cheltenham>Casualwear>Menswear,,,FALSE,OEPCI205-H20,10,IN STOCK,,"10.5, 11, 7, 8.5, 9, 9.5",Beige,,169.00,19,TRUE,TRUE
Hawes & Curtis,5063056812558,5063056812558,Hawes & Curtis Black Oxford Shoe,http://www.hawesandcurtis.co.uk/black-patent-oxford-shoe-oeppa004-a01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Finishing off your look with some high-gloss, this black Oxford shoe is the perfect formal-wear companion. Crafted from premium Italian patent leather for a mirror-shine finish; the timeless oxford silhouette will provide a traditional feel to every ensemble. These shoes are designed for elegance and durability in your wardrobe with rubber inserts on the sole for added grip. • Patent Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","Finishing off your look with some high-gloss, this black Oxford shoe is the perfect formal-wear companion. Crafted from premium Italian patent leather for a mirror-shine finish; the timeless oxford silhouette will provide a traditional feel to every ensemble. These shoes are designed for elegance and durability in your wardrobe with rubber inserts on the sole for added grip. • Patent Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPPA004-A01-199938-1400px-1820px.jpg,Clothing & Accessories > Shoes,Cheltenham>Casualwear>Menswear,,,FALSE,OEPPA004-A01,19,IN STOCK,,"10, 10.5, 11, 12, 7, 8, 8.5, 9, 9.5",Black,,169.00,10,TRUE,TRUE
Hawes & Curtis,5063056814149,5063056814149,Hawes & Curtis Brown Tassel Loafer,http://www.hawesandcurtis.co.uk/brown-leather-tassel-loafer1-oepca011-c01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"These signature brown loafers offer an effortless slip-on style, with no detail overlooked. Crafted from premium Polido calf leather, they have an elegant tassel detailing and decorative lacing across the silhouette. Perfect for both formal and smart-casual occasions, the leather soles are reinforced with rubber inserts for added comfort and slip resistance. • Leather Upper • Leather Lining • Leather Sole with Rubber insert• Rubber Heel  Made in Portugal","These signature brown loafers offer an effortless slip-on style, with no detail overlooked. Crafted from premium Polido calf leather, they have an elegant tassel detailing and decorative lacing across the silhouette. Perfect for both formal and smart-casual occasions, the leather soles are reinforced with rubber inserts for added comfort and slip resistance. • Leather Upper • Leather Lining • Leather Sole with Rubber insert• Rubber Heel  Made in Portugal",109.00,109.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCA011-C01-200143-1400px-1820px.jpg,Clothing & Accessories > Shoes,Gifts>Shoes & Accessories,,,FALSE,OEPCA011-C01,11,IN STOCK,,"10, 10.5, 11, 12, 8.5, 9, 9.5",Brown,,169.00,15,TRUE,TRUE
Hawes & Curtis,5063056812893,5063056812893,Hawes & Curtis Black Wholecut Oxford Dress Shoe,http://www.hawesandcurtis.co.uk/black-patent-wholecut-oxford-dress-shoe-oeppa005-a01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Make a statement with black patent shoes, designed for unparalleled elegance. Crafted from glossy Italian patent leather, these shoes offer a sleek, seamless finish that’s perfect for formal occasions. Ideal for black-tie events or weddings, they exude sophistication while providing exceptional comfort and slip resistance with rubber inserts on the sole.• Patent Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","Make a statement with black patent shoes, designed for unparalleled elegance. Crafted from glossy Italian patent leather, these shoes offer a sleek, seamless finish that’s perfect for formal occasions. Ideal for black-tie events or weddings, they exude sophistication while providing exceptional comfort and slip resistance with rubber inserts on the sole.• Patent Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPPA005-A01-199936-1400px-1820px.jpg,Clothing & Accessories > Shoes,The Richmond Enclosure>Promotions,,,FALSE,OEPPA005-A01,26,IN STOCK,,"10, 10.5, 11, 12, 7, 8, 8.5, 9, 9.5",Black,,169.00,8,TRUE,TRUE
